"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACTL10",12.8179926822299,0.0319617364735748,0.517170853190549,0.0618011171286922,0.950721213850079,NA
"ACTL6A",584.979764567999,-0.420854400492526,0.11967652107472,-3.51659955280423,0.000437112704180317,0.00837456516185467
"ACTL6B",0,NA,NA,NA,NA,NA
"ACTL7A",0,NA,NA,NA,NA,NA
"ACTL7B",0.174908655330474,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ACTL8",0.162444167472278,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"ACTL9",0,NA,NA,NA,NA,NA
"ACTN1",7907.64641513927,-0.191357424826449,0.12378773113459,-1.54585129780263,0.122140484839236,0.436723548255088
"ACTN1-AS1",1.20684712274235,1.4441730657689,1.82154354443109,0.792829284912837,0.427877291960587,NA
"ACTN2",0.291676503477659,-1.60888232952455,4.04675150314492,-0.397573789315753,0.690944384332265,NA
"ACTN3",6.00409193847466,-0.163610193688931,0.754101111523697,-0.216960552356632,0.828239087337037,NA
"ACTN4",8026.58610727133,-0.142286457819983,0.154632540960894,-0.920158570348829,0.357489900753264,0.699103355717524
"ACTR10",1017.86101694306,-0.197547834690027,0.120833561808938,-1.63487554064152,0.102075140884389,0.3984030330047
"ACTR1A",2310.29228857384,-0.135455619792607,0.124624810098397,-1.08690733157915,0.27707776585576,0.635121370909682
"ACTR1B",694.932563569688,0.0202074894463137,0.123910051599546,0.163081922616097,0.870453932907423,0.957707646912384
"ACTR2",7348.76244299119,-0.268539405663884,0.0787883983204534,-3.40836228922515,0.000653540629444196,0.011490320270444
"ACTR3",4663.6451561163,-0.256907108094711,0.0816181870060569,-3.14766987014359,0.00164577449090344,0.0242272882118531
"ACTR3-AS1",7.12627975983196,-0.172153678084851,0.677535762653945,-0.254087957527903,0.799427606645652,NA
"ACTR3B",84.1528889788265,-0.339910353045476,0.211064487117983,-1.61045734261998,0.107298050795465,0.407901664944069
"ACTR3BP2",0,NA,NA,NA,NA,NA
"ACTR3BP5",0,NA,NA,NA,NA,NA
"ACTR3C",5.43945090205793,0.0621688527706902,0.877300448760075,0.0708638105207356,0.943506145957374,NA
"ACTR5",112.360541102084,-0.145226036000965,0.213006014713581,-0.681793123054499,0.495369773348256,0.792153848923663
"ACTR6",383.090706546979,-0.223136175438604,0.133836585353988,-1.66722854478411,0.0954689688229433,0.383299352260316
"ACTR8",609.953056268745,-0.0137752249320548,0.111204694617053,-0.123872692420868,0.901416074682803,0.967511008483074
"ACTRT1",0,NA,NA,NA,NA,NA
"ACTRT2",0,NA,NA,NA,NA,NA
"ACTRT3",46.5690212803563,0.132448292428788,0.286830361120798,0.461765246577255,0.644249675738163,0.874671133099974
"ACVR1",1236.57468686365,0.145159157112624,0.0917893056524863,1.58143866631039,0.113777772364499,0.420425985886908
"ACVR1B",463.174719997396,0.119909065651059,0.11252015626326,1.06566742913609,0.286574006182367,0.643883590205158
"ACVR1C",8.20530438235668,0.46630270197498,0.685173581333342,0.680561414915558,0.496149048810474,NA
"ACVR2A",158.261289630432,-0.076918216818369,0.189892209947747,-0.405062518570587,0.685431556658935,0.892366022137327
"ACVR2B",102.203961208599,0.657395469864452,0.222434090250592,2.95546185894364,0.00312201296466987,0.0401087363295601
"ACVR2B-AS1",6.69243887624146,0.171309905290876,0.746524667843563,0.229476550032469,0.818498544734191,NA
"ACVRL1",95.6079668982848,-0.048570412811735,0.208322301931839,-0.233150326975682,0.815644676256839,0.940489085537159
"ACY1",3.72878711821745,0.39936629260771,0.988272125698774,0.404105592197424,0.686135072884229,NA
"ACY3",0.185832883874768,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ACYP1",131.579855700664,-0.231902489047845,0.253042825760788,-0.916455498592448,0.359428038005764,0.699664224360612
"ACYP2",137.072770854428,0.190793996716256,0.173844521645475,1.09749789588047,0.27242380004535,0.632331102880287
"ADA",78.7921085010486,0.13508242171205,0.26766275897996,0.504673949513327,0.613787860869406,0.857813254419855
"ADA2",78.1441366144503,-0.205819035020429,0.273037604679767,-0.753812044541719,0.450962090593092,0.766188591059833
"ADAD1",0,NA,NA,NA,NA,NA
